,kontrakt,price,absolut_inc,perc_inc,date_fullfillment,date_price,currency,commodity_id
0,Mai 2022,361.0,"9,20","+2,62 %",2022-05-23,2022-05-16, GBP,2
1,Jul 2022,360.05,"12,45","+3,58 %",2022-07-07,2022-05-16, GBP,2
2,Nov 2022,352.0,"15,70","+4,67 %",2022-11-23,2022-05-16, GBP,2
3,Jan 2023,354.0,"15,30","+4,52 %",2023-01-23,2022-05-16, GBP,2
4,Mär 2023,355.3,"14,90","+4,38 %",2023-03-23,2022-05-16, GBP,2
5,Mai 2023,356.8,"14,50","+4,24 %",2023-05-23,2022-05-16, GBP,2
6,Jul 2023,327.1,"10,25","+3,23 %",2023-07-07,2022-05-16, GBP,2
7,Nov 2023,292.8,"6,00","+2,09 %",2023-11-23,2022-05-16, GBP,2
8,Jan 2024,293.75,"6,00","+2,09 %",2024-01-23,2022-05-16, GBP,2
9,Mär 2024,295.25,"6,00","+2,07 %",2024-03-22,2022-05-16, GBP,2
